,Hazard,Causes,Adaptation,Impacts,Mitigation,Invalid
2025-10-12,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-15,0.0,0.0,0.0,0.0,0.0,1.0
2025-10-16,0.0,0.0,0.0,0.6,0.0,0.0
2025-10-18,0.0,0.6,0.0,0.0,0.0,0.0
2025-10-19,0.0,0.7,0.0,0.0,0.0,0.0
2025-10-20,0.0,0.0,0.0,0.0,0.0,2.0
2025-10-23,1.0,0.0,0.0,0.0,0.0,0.0
2025-10-24,1.0,0.0,0.0,0.0,0.0,1.0
2025-10-26,0.0,0.8,0.0,0.0,0.0,0.0
2025-10-27,0.0,0.6,0.0,0.0,0.0,0.0
2025-10-28,0.0,0.9,0.0,0.0,0.0,1.0
2025-11-03,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-04,0.8,0.0,0.0,0.0,0.0,0.0
2025-11-06,1.5,0.0,0.0,0.0,0.0,0.0
2025-11-07,0.9,0.9,0.0,0.0,0.0,3.0
2025-11-08,0.0,1.5,0.8,0.0,0.0,0.0
2025-11-09,0.9,0.0,0.0,0.0,0.0,0.0
2025-11-10,1.8,0.9,0.0,0.0,0.0,1.9
2025-11-11,0.9,0.9,0.0,0.0,0.0,0.0
2025-11-12,0.9,0.0,0.0,0.0,0.0,0.0
2025-11-14,5.1000000000000005,0.0,0.0,0.7,0.0,0.0
2025-11-15,0.9,0.0,0.0,0.0,0.0,0.0
2025-11-16,1.8,0.0,0.0,0.0,0.0,0.0
2025-11-17,4.5,0.0,0.0,0.0,0.0,0.7
2025-11-18,4.5,0.9,0.0,0.0,0.0,0.7
2025-11-19,2.6,0.0,0.0,0.9,0.0,0.0
2025-11-20,1.8,0.0,0.0,0.0,0.0,0.7
2025-11-21,1.8,0.8,0.0,0.0,0.0,1.5
2025-11-22,1.7000000000000002,0.0,0.0,0.0,0.0,0.8
2025-11-24,5.0,0.0,0.0,0.0,0.0,2.3
2025-11-25,0.0,0.0,0.0,0.0,0.0,0.8
2025-11-26,1.7000000000000002,0.7,0.0,0.0,0.0,1.4
2025-11-27,1.5,0.0,0.0,0.0,0.0,0.0
2025-11-28,0.0,0.8,0.0,0.0,0.6,3.9000000000000004
2025-11-29,0.0,0.0,0.0,0.0,0.0,1.4
2025-11-30,1.8,0.9,0.0,0.0,0.0,3.5999999999999996
2025-12-01,6.100000000000001,0.0,0.0,0.0,0.0,4.2
2025-12-02,2.7,0.0,0.0,0.7,0.9,3.6000000000000005
2025-12-03,0.0,0.0,0.0,0.0,0.0,5.1
2025-12-04,0.9,0.9,0.9,0.0,0.9,8.600000000000001
2025-12-05,0.8,0.0,0.0,0.0,0.0,2.2
2025-12-06,0.0,0.9,0.0,0.0,0.0,1.4
2025-12-07,0.9,0.0,0.0,0.0,0.0,0.8
2025-12-08,3.6,0.0,0.0,0.0,0.0,0.8
2025-12-09,4.9,0.0,0.0,0.0,0.0,2.8
2025-12-10,3.1999999999999997,0.0,0.0,0.0,0.0,2.8
2025-12-11,2.5,0.0,0.0,0.0,0.0,4.2
2025-12-12,1.5,0.6,0.0,0.0,0.0,2.2
2025-12-13,1.8,0.0,0.0,0.0,0.0,0.7
2025-12-14,0.0,0.9,0.0,0.0,0.0,0.7
2025-12-15,2.0999999999999996,0.0,0.0,0.0,0.7,3.5
2025-12-16,6.6000000000000005,0.0,0.0,0.0,0.0,8.5
2025-12-17,3.0,0.0,0.0,0.0,0.0,8.0
2025-12-18,0.7,0.0,0.9,0.0,1.8,7.2
2025-12-19,2.7,0.0,0.0,0.0,0.0,5.0
2025-12-20,1.4,0.0,0.55,0.0,0.0,5.7
2025-12-21,0.8,0.0,0.0,0.0,0.9,5.000000000000001
2025-12-22,0.9,0.0,0.0,0.0,0.0,4.3
2025-12-23,0.7,0.0,0.0,0.0,0.0,5.1
2025-12-24,3.6,0.0,0.0,0.0,0.0,5.2
2025-12-25,0.0,0.0,0.0,0.0,0.0,0.8
2025-12-26,0.7,0.0,0.0,0.0,0.0,3.5
2025-12-27,0.0,1.8,0.0,0.0,0.0,0.7
2025-12-28,0.7,0.0,0.0,0.0,0.0,0.7
2025-12-29,0.9,2.6,0.0,0.0,0.0,9.200000000000001
2025-12-30,0.0,0.7,0.0,0.0,0.0,1.4
2025-12-31,4.5,0.0,0.0,0.0,0.0,1.4
2026-01-02,1.8,0.0,0.0,0.0,0.0,0.7
